0,1,2,3,4,5,6,7,8,9,10
34.0,22.0,15.0,42.0,4.0,11.0,43.0,15.0,42.0,22.0,0.0
18.0,16.0,15.0,42.0,6.0,26.0,43.0,15.0,42.0,26.0,0.0
20.0,24.0,15.0,42.0,19.0,9.0,43.0,15.0,42.0,16.0,0.0
5.0,38.0,15.0,42.0,25.0,24.0,43.0,15.0,42.0,1.0,0.0
16.0,1.0,15.0,42.0,19.0,36.0,43.0,15.0,42.0,16.0,0.0
22.0,22.0,15.0,42.0,31.0,28.0,43.0,15.0,42.0,32.0,0.0
11.0,32.0,15.0,42.0,8.0,22.0,43.0,15.0,42.0,11.0,0.0
24.0,26.0,15.0,42.0,21.0,16.0,43.0,15.0,42.0,5.0,0.0
5.0,16.0,15.0,42.0,10.0,1.0,43.0,15.0,42.0,16.0,0.0
1.0,20.0,15.0,42.0,39.0,24.0,43.0,15.0,42.0,38.0,0.0
3.0,11.0,15.0,42.0,14.0,40.0,43.0,15.0,42.0,40.0,0.0
3.0,11.0,15.0,42.0,4.0,11.0,43.0,15.0,42.0,3.0,0.0
30.0,34.0,15.0,42.0,14.0,22.0,43.0,15.0,42.0,32.0,0.0
30.0,34.0,15.0,42.0,35.0,13.0,43.0,15.0,42.0,13.0,0.0
3.0,34.0,15.0,42.0,12.0,30.0,43.0,15.0,42.0,13.0,0.0
9.0,9.0,15.0,42.0,25.0,9.0,43.0,15.0,42.0,1.0,0.0
24.0,20.0,15.0,42.0,10.0,24.0,43.0,15.0,42.0,18.0,0.0
34.0,40.0,15.0,42.0,14.0,32.0,43.0,15.0,42.0,40.0,0.0
34.0,32.0,15.0,42.0,41.0,13.0,43.0,15.0,42.0,34.0,0.0
7.0,3.0,15.0,42.0,8.0,30.0,43.0,15.0,42.0,28.0,0.0
28.0,13.0,15.0,42.0,41.0,13.0,43.0,15.0,42.0,22.0,0.0
40.0,13.0,15.0,42.0,33.0,3.0,43.0,15.0,42.0,11.0,0.0
11.0,28.0,15.0,42.0,14.0,30.0,43.0,15.0,42.0,34.0,0.0
20.0,38.0,15.0,42.0,37.0,1.0,43.0,15.0,42.0,20.0,0.0
20.0,26.0,15.0,42.0,27.0,5.0,43.0,15.0,42.0,1.0,0.0
